Dec 19 09:22:53 test kernel: [67509.118091] [TRACE_KVM] Buffer & to_replay created
Dec 19 09:22:53 test kernel: [67509.118125] [HAVFUZZ] Opened
Dec 19 09:23:39 test kernel: [67554.504567] [TRACE_KVM] The trarget vcpu is 3
Dec 19 09:23:39 test kernel: [67554.574507] [Trace KVM] Buffer reset
Dec 19 09:23:39 test kernel: [67554.574516] [TRACE_KVM] Buffer size changed
Dec 19 09:23:39 test kernel: [67554.574523] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 19 09:23:39 test kernel: [67554.574526] [TRACE_KVM] gran exit set to 0.
Dec 19 09:23:39 test kernel: [67554.574527] [TRACE_KVM] Control_execution set to 1.
Dec 19 09:23:39 test kernel: [67554.574529] [TRACE_KVM] tracing enabled
Dec 19 09:23:40 test kernel: [67555.436920] 68, L1: 1.
Dec 19 09:23:40 test kernel: [67555.436966] 69, L1: 1.
Dec 19 09:23:40 test kernel: [67555.437010] 70, L1: 1.
Dec 19 09:23:40 test kernel: [67555.437054] 71, L1: 1.
Dec 19 09:23:40 test kernel: [67555.437099] 72, L1: 1.
Dec 19 09:23:40 test kernel: [67555.438383] 73, L1: 1.
Dec 19 09:23:40 test kernel: [67555.461965] 74, L1: 1.
Dec 19 09:23:40 test kernel: [67555.471161] 75, L1: 1.
Dec 19 09:23:40 test kernel: [67555.505859] 76, L1: 1.
Dec 19 09:23:40 test kernel: [67555.526471] 77, L1: 1.
Dec 19 09:23:40 test kernel: [67555.583663] 78, L1: 1.
Dec 19 09:23:40 test kernel: [67555.584001] 79, L1: 1.
Dec 19 09:23:40 test kernel: [67555.586453] 80, L1: 1.
Dec 19 09:23:40 test kernel: [67555.586753] 81, L1: 1.
Dec 19 09:23:40 test kernel: [67555.586786] 82, L1: 1.
Dec 19 09:23:40 test kernel: [67555.586827] 83, L1: 1.
Dec 19 09:23:40 test kernel: [67555.586867] 84, L1: 1.
Dec 19 09:23:40 test kernel: [67555.586897] 85, L1: 1.
Dec 19 09:23:40 test kernel: [67555.586923] 86, L1: 1.
Dec 19 09:23:40 test kernel: [67555.586949] 87, L1: 1.
Dec 19 09:23:40 test kernel: [67555.586977] 88, L1: 1.
Dec 19 09:23:40 test kernel: [67555.587006] 89, L1: 1.
Dec 19 09:23:40 test kernel: [67555.587292] 90, L1: 1.
Dec 19 09:23:40 test kernel: [67555.587318] 91, L1: 1.
Dec 19 09:23:40 test kernel: [67555.587370] 92, L1: 1.
Dec 19 09:23:40 test kernel: [67555.735402] [Hermes] Exit Field [681e] -> Value [4000000010000f9]. Reason: [a].
Dec 19 09:23:40 test kernel: [67555.735426] 93, L1: 1.
Dec 19 09:23:40 test kernel: [67555.735428] [Hermes] Entry Field [681e] -> Value [4000000010000fb].
Dec 19 09:23:40 test kernel: [67555.744267] 94, L1: 1.
Dec 19 09:23:43 test kernel: [67558.735538] [TRACE_KVM] tracing disabled
Dec 19 09:23:43 test kernel: [67558.735543] [TRACE_KVM] Control_execution set to 0.
Dec 19 09:23:43 test kernel: [67558.735807] [TRACE_KVM] Buffer copied 
Dec 19 09:23:43 test kernel: [67558.738138] [HAVFUZZ] Released
Dec 19 09:23:43 test kernel: [67558.739884] [Trace KVM] Buffer released
